DUT,X,Y,SBIN
  241   ,   239   ,   241      ,     1       ,
  242   ,   238   ,   241      ,     1       ,
  243   ,   237   ,   241      ,     1       ,
  244   ,   236   ,   241      ,     1       ,
  245   ,   235   ,   241      ,     1       ,
  246   ,   234   ,   241      ,     1       ,
  247   ,   233   ,   241      ,     1       ,
  248   ,   232   ,   241      ,     1       ,
  249   ,   231   ,   241      ,     1       ,
  250   ,   230   ,   241      ,     1       ,
  251   ,   229   ,   241      ,     1       ,
  252   ,   228   ,   241      ,     1       ,
  253   ,   227   ,   241      ,     1       ,
  254   ,   226   ,   241      ,    52       ,
  255   ,   225   ,   241      ,     1       ,
  256   ,   224   ,   241      ,    52       ,
